ID,Title,Department,Summary
1,Operations Manager,Operations,
2,Senior Field Engineer,Service,
3,IT & Procurement Manager,IT and Operations,
4,Hire dept. Manager,Hire,
5,General Manager,General,
6,Accounts Manager,Accounts,
7,Sales Director,Sales,
8,H&S & Quality Coordinator/Director ,HR and H&S,
9,Sales Order Coordinator,Operations,
10,Workshop Service engineer ,Workshop,
11,Service  Administrator,Service,
12,Workshop Manager,Workshop,
13,Purchase Ledger Administrator ,Accounts,
14,Accounts Administrator ,Accounts,
15,Warehouse Manager,Warehouse,
16,Delivery driver,Logistics,
17,Field Service Engineer,Service,
18,Sales Consultant,Sales,
19,Warehouse Assistant ,Warehouse,
20,Warehouse / Sales assistant,Warehouse,
21,Service Co-Ordinator,Service,
22,Service Administrator ,Service,
23,Accounts Assistant,Service,
